"matchup","match_id","player","standing","points","time","n_advancements"
"1A","1A1","NottAntoo",6,0,00:12:00.000,17
"1A","1A1","dbowzer",5,1,00:24:00.002,36
"1A","1A1","draconix6",4,2,00:36:00.004,44
"1A","1A1","hackingnoisess",3,3,00:48:00.005,45
"1A","1A1","TigerMCSR",2,4,01:00:00.006,61
"1A","1A1","oxidiot",1,5,01:00:00.006,62
"1A","1A2","NottAntoo",6,0,00:12:00.000,22
"1A","1A2","dbowzer",5,1,00:24:00.002,35
"1A","1A2","hackingnoisess",4,2,00:36:00.003,41
"1A","1A2","draconix6",3,3,00:48:00.005,47
"1A","1A2","oxidiot",2,4,01:00:00.007,56
"1A","1A2","TigerMCSR",1,5,01:00:00.007,57
"1A","1A3","draconix6",6,0,00:12:00.000,24
"1A","1A3","NottAntoo",5,1,00:24:00.001,27
"1A","1A3","hackingnoisess",4,2,00:36:24.312,45
"1A","1A3","dbowzer",3,3,00:48:00.003,51
"1A","1A3","oxidiot",2,4,01:00:30.606,59
"1A","1A3","TigerMCSR",1,5,01:00:30.606,60
"1B","1B1","maskers_",6,0,00:12:22.290,24
"1B","1B1","ANTOlNE",5,1,00:24:00.000,27
"1B","1B1","iinterp",4,2,00:36:00.002,43
"1B","1B1","7rowl",3,3,00:48:13.438,55
"1B","1B1","jakkeboy3651",2,4,01:00:00.004,57
"1B","1B1","infume",1,5,01:00:00.004,61
"1B","1B2","maskers_",6,0,00:12:00.002,25
"1B","1B2","jakkeboy3651",5,1,00:24:00.004,37
"1B","1B2","iinterp",4,2,00:36:00.006,44
"1B","1B2","ANTOlNE",3,3,00:48:00.007,49
"1B","1B2","7rowl",2,4,01:00:00.008,58
"1B","1B2","infume",1,5,01:00:00.008,60
"1B","1B3","ANTOlNE",6,0,00:12:00.000,20
"1B","1B3","iinterp",5,1,00:24:00.002,29
"1B","1B3","jakkeboy3651",4,2,00:36:00.004,41
"1B","1B3","maskers_",3,3,00:48:00.006,49
"1B","1B3","7rowl",2,4,01:00:00.007,58
"1B","1B3","infume",1,5,01:00:00.007,61
"1C","1C1","AutomattPLUS",6,0,00:12:00.002,22
"1C","1C1","danterustv",5,1,00:24:00.003,30
"1C","1C1","joshteautwins",4,2,00:36:00.006,43
"1C","1C1","fudge1",3,3,00:48:00.008,51
"1C","1C1","okrzej1",2,4,01:00:00.010,62
"1C","1C1","Feinberg",1,5,01:00:00.010,63
"1C","1C2","danterustv",6,0,00:12:02.340,25
"1C","1C2","fudge1",5,1,00:24:00.002,30
"1C","1C2","AutomattPLUS",4,2,00:36:02.070,45
"1C","1C2","joshteautwins",3,3,00:48:00.005,50
"1C","1C2","okrzej1",2,4,01:00:00.007,62
"1C","1C2","Feinberg",1,5,01:00:00.007,65
"1C","1C3","AutomattPLUS",6,0,00:12:00.002,24
"1C","1C3","joshteautwins",5,1,00:24:00.003,36
"1C","1C3","danterustv",4,2,00:36:33.267,44
"1C","1C3","okrzej1",3,3,00:48:00.006,50
"1C","1C3","fudge1",2,4,01:00:00.007,56
"1C","1C3","Feinberg",1,5,01:00:00.007,62
"1D","1D1","hasbi123412",6,0,00:12:00.001,24
"1D","1D1","retropog",5,1,00:24:21.720,38
"1D","1D1","waluyoshi",4,2,00:36:00.003,46
"1D","1D1","silverrruns",3,3,00:48:00.004,53
"1D","1D1","chrisXD",2,4,01:00:11.598,59
"1D","1D1","SuperC__",1,5,01:00:11.598,60
"1D","1D2","waluyoshi",6,0,00:12:00.000,24
"1D","1D2","hasbi123412",5,1,00:24:12.263,36
"1D","1D2","retropog",4,2,00:36:00.003,43
"1D","1D2","silverrruns",3,3,00:49:05.348,51
"1D","1D2","chrisXD",2,4,01:00:00.006,52
"1D","1D2","SuperC__",1,5,01:00:00.006,57
"1D","1D3","hasbi123412",6,0,00:11:59.999,22
"1D","1D3","waluyoshi",5,1,00:24:00.001,37
"1D","1D3","chrisXD",4,2,00:36:00.002,38
"1D","1D3","retropog",3,3,00:48:00.003,50
"1D","1D3","silverrruns",2,4,01:00:00.004,56
"1D","1D3","SuperC__",1,5,01:00:00.004,62
"1E","1E1","Boosfer",6,0,00:12:44.405,28
"1E","1E1","bigbigmongey",5,1,00:24:00.000,40
"1E","1E1","suravil_",4,2,00:36:00.002,48
"1E","1E1","blakwolf_",3,3,00:50:06.269,56
"1E","1E1","Erikfzf",2,4,01:00:00.003,58
"1E","1E1","Snakezy",1,5,01:00:00.003,64
"1E","1E2","suravil_",6,0,00:12:04.004,27
"1E","1E2","blakwolf_",5,1,00:24:00.003,38
"1E","1E2","Erikfzf",4,2,00:36:00.004,46
"1E","1E2","bigbigmongey",3,3,00:48:00.005,50
"1E","1E2","Boosfer",2,4,01:00:00.008,52
"1E","1E2","Snakezy",1,5,01:00:00.008,63
"1E","1E3","Boosfer",6,0,00:12:58.825,27
"1E","1E3","Snakezy",5,1,00:24:00.003,28
"1E","1E3","suravil_",4,2,00:36:00.004,46
"1E","1E3","bigbigmongey",3,3,00:48:05.757,53
"1E","1E3","Erikfzf",2,4,01:00:00.006,57
"1E","1E3","blakwolf_",1,5,01:00:00.006,60
